"timestamp","dataset","features","classes","samples_requested","clear_samples","clear_hard_correct","clear_hard_accuracy_pct","clear_soft_global_correct","clear_soft_global_accuracy_pct","clear_soft_adaptive_correct","clear_soft_adaptive_accuracy_pct","he_soft_global_correct","he_soft_global_accuracy_pct","he_soft_global_avg_ms","he_soft_adaptive_correct","he_soft_adaptive_accuracy_pct","he_soft_adaptive_avg_ms","he_samples","he_mult_depth","clear_predictions_file","he_predictions_file","log_file"
"2026-06-07T00:54:14","wine","13","3","26","26","24/26","92,31","25/26","96,15","25/26","96,15","25/26","96,15","149,12","26/26","100","183,24","26","12","results/logs/run_wine_20260607_005414_clear_predictions.csv","results/logs/run_wine_20260607_005414_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260607_005414.log"
"2026-06-08T05:13:44","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","356,76","19/20","95","282,89","20","10","results/logs/run_iris_20260608_051344_clear_predictions.csv","results/logs/run_iris_20260608_051344_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_051344.log"
"2026-06-08T05:15:22","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","360,5","19/20","95","289,58","20","10","results/logs/run_iris_20260608_051522_clear_predictions.csv","results/logs/run_iris_20260608_051522_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_051522.log"
"2026-06-08T05:16:22","cancer","30","2","32","32","30/32","93,75","31/32","96,88","31/32","96,88","29/32","90,62","216,59","30/32","93,75","205,5","32","11","results/logs/run_cancer_20260608_051622_clear_predictions.csv","results/logs/run_cancer_20260608_051622_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_cancer_20260608_051622.log"
"2026-06-08T05:26:57","wine","13","3","26","26","24/26","92,31","25/26","96,15","25/26","96,15","25/26","96,15","159,98","26/26","100","187,61","26","12","results/logs/run_wine_20260608_052657_clear_predictions.csv","results/logs/run_wine_20260608_052657_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260608_052657.log"
"2026-06-08T05:28:12","breast","30","2","32","32","29/32","90,62","13/32","40,62","29/32","90,62","14/32","43,75","317,17","29/32","90,62","331,93","32","11","results/logs/run_breast_20260608_052812_clear_predictions.csv","results/logs/run_breast_20260608_052812_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_breast_20260608_052812.log"
"2026-06-08T05:31:30","steel","33","2","32","32","32/32","100","20/32","62,5","32/32","100","20/32","62,5","77,05","32/32","100","66,56","32","10","results/logs/run_steel_20260608_053130_clear_predictions.csv","results/logs/run_steel_20260608_053130_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_steel_20260608_053130.log"
"2026-06-08T05:32:19","heart","13","2","26","26","22/26","84,62","15/26","57,69","22/26","84,62","8/26","30,77","109,25","22/26","84,62","82,24","26","11","results/logs/run_heart_20260608_053219_clear_predictions.csv","results/logs/run_heart_20260608_053219_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_heart_20260608_053219.log"
"2026-06-08T05:32:43","cancer","30","2","1","1","1/1","100","1/1","100","1/1","100","1/1","100","6279,45","1/1","100","6298,75","1","11","results/logs/run_cancer_20260608_053243_clear_predictions.csv","results/logs/run_cancer_20260608_053243_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_cancer_20260608_053243.log"
"2026-06-08T05:35:25","cancer","30","2","188","188","174/188","92,55","177/188","94,15","176/188","93,62",,,,,,,"188","11","results/logs/run_cancer_20260608_053525_clear_predictions.csv","results/logs/run_cancer_20260608_053525_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_cancer_20260608_053525.log"
"2026-06-08T05:42:49","wine","13","3","26","26","24/26","92,31","25/26","96,15","25/26","96,15","25/26","96,15","153,76","26/26","100","164,51","26","12","results/logs/run_wine_20260608_054249_clear_predictions.csv","results/logs/run_wine_20260608_054249_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260608_054249.log"
"2026-06-08T05:44:32","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","338,44","19/20","95","253,91","20","10","results/logs/run_iris_20260608_054432_clear_predictions.csv","results/logs/run_iris_20260608_054432_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_054432.log"
"2026-06-08T05:49:36","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","427,91","19/20","95","287,13","20","10","results/logs/run_iris_20260608_054936_clear_predictions.csv","results/logs/run_iris_20260608_054936_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_054936.log"
"2026-06-08T05:50:52","iris","4","3","1","1","1/1","100","1/1","100","1/1","100","1/1","100","3631,24","1/1","100","2785,07","1","10","results/logs/run_iris_20260608_055052_clear_predictions.csv","results/logs/run_iris_20260608_055052_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_055052.log"
"2026-06-08T05:55:13","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","414,05","19/20","95","300,72","20","10","results/logs/run_iris_20260608_055513_clear_predictions.csv","results/logs/run_iris_20260608_055513_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_055513.log"
"2026-06-08T06:03:48","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","1301,11","19/20","95","1072,73","20","12","results/logs/run_iris_20260608_060348_clear_predictions.csv","results/logs/run_iris_20260608_060348_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_060348.log"
"2026-06-08T06:07:08","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","1425,87","19/20","95","1300,9","20","12","results/logs/run_iris_20260608_060708_clear_predictions.csv","results/logs/run_iris_20260608_060708_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260608_060708.log"
"2026-06-08T06:12:34","wine","13","3","26","26","26/26","100","26/26","100","26/26","100","25/26","96,15","362,13","25/26","96,15","371,79","26","12","results/logs/run_wine_20260608_061234_clear_predictions.csv","results/logs/run_wine_20260608_061234_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260608_061234.log"
"2026-06-08T06:14:42","cancer","30","2","32","32","32/32","100","32/32","100","32/32","100","32/32","100","341,81","32/32","100","262,55","32","11","results/logs/run_cancer_20260608_061442_clear_predictions.csv","results/logs/run_cancer_20260608_061442_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_cancer_20260608_061442.log"
